name|tenCen|twoCen|threeCen|fourCen|fiveCen|sixCen|womanRatio|manRatio
1989버거스탠드 연남|32.525176470588235|47.985176470588236|37.85411764705883|32.198823529411754|21.316470588235287|23.056470588235296|51|49
JASE|56.06833333333334|86.84466666666667|38.00233333333332|30.74766666666665|24.236999999999988|19.068333333333314|54|46
고망고 연남점|44.80070588235293|49.04941176470587|38.99435294117647|35.80541176470588|21.979529411764695|16.211058823529406|58|42
공상온도|43.76117647058822|51.399529411764696|32.708470588235286|22.967764705882338|15.623294117647054|11.764705882352951|59|41
구공탄곱창 본점|56.62533333333334|76.78833333333334|49.91666666666668|37.97233333333334|28.60899999999999|21.838333333333328|51|49
구스토타코|25.066823529411764|49.37835294117646|41.39176470588236|29.178117647058816|19.828470588235287|11.764705882352951|54|46
금성회관 합정본점|25.00000000000001|95.45249999999996|89.37399999999998|83.08199999999997|69.57099999999997|68.90099999999997|44|56
김씨육면|25.00000000000001|98.30549999999995|79.84499999999997|68.8035|66.05799999999998|78.91099999999999|49|51
깃털|11.764705882352951|50.47576470588234|39.08447058823528|27.70635294117646|17.6204705882353|11.764705882352951|45|55
꽈페 홍대점|45.21011764705881|49.811058823529414|36.669647058823536|40.40705882352942|28.922823529411758|19.4030588235294|61|39
남산호랭이|72.73833333333334|76.00033333333333|45.055999999999976|39.248666666666665|35.021333333333345|25.967999999999986|60|40
돈주는남자 본점|55.208333333333314|82.8183333333333|54.42466666666665|44.22466666666662|41.20733333333331|33.49133333333329|43|57
동두천솥뚜껑삼겹살 합정점|28.96823529411764|52.31976470588234|38.238823529411754|28.520941176470593|24.764941176470582|20.093411764705866|47|53
동무밥상|48.11849999999999|91.56849999999996|90.34849999999996|81.29049999999997|79.27250000000001|93.98149999999997|42|58
디어리스트 연남|72.59199999999998|80.23566666666666|49.26366666666666|39.880333333333326|36.485666666666674|30.047666666666657|58|42
디퍼 루프탑|11.764705882352951|52.07082352941175|38.029411764705884|27.890117647058823|19.05482352941177|11.764705882352951|54|46
따로집|11.764705882352951|49.611058823529405|42.18894117647058|20.724470588235295|16.313882352941175|11.764705882352951|48|52
루프탑 G 길리건스|40.127333333333326|90.66466666666663|50.560666666666656|38.74066666666668|30.168000000000006|23.500666666666646|52|48
루프탑어반비치|52.642|93.89533333333333|50.74999999999999|35.325|25.921333333333347|23.071666666666673|59|41
리밀커피&밀리|35.276941176470594|47.505176470588225|39.0889411764706|30.578823529411753|20.90635294117648|11.764705882352951|61|39
멘야산다이메 본점|40.75411764705883|48.712470588235284|38.25717647058823|25.984705882352927|17.932941176470592|18.147764705882345|48|52
멘야하나비 합정점|36.32188235294116|50.77223529411765|38.83670588235294|24.33129411764707|17.788705882352925|14.887764705882356|54|46
모크|69.002|75.30666666666666|44.592666666666645|27.401666666666653|23.568333333333335|20.230999999999995|56|44
무니|30.2755|98.04299999999996|91.66799999999999|76.57449999999997|62.96449999999996|42.68899999999996|49|51
버거스올마이티 홍대점|36.66094117647058|47.96447058823527|38.37435294117647|33.54070588235294|22.76070588235293|11.764705882352951|46|54
베어스덴베이커리|37.94941176470588|50.49482352941176|38.96164705882354|36.42141176470588|29.250117647058822|21.78|62|38
부산집|11.764705882352951|50.80235294117648|41.918352941176465|31.583529411764694|22.054823529411753|20.757882352941174|48|52
샐러디 합정역점|33.68282352941175|50.01388235294119|38.06423529411763|25.739294117647066|16.889176470588243|11.764705882352951|65|35
서교주담|12.144999999999996|76.57866666666668|55.78199999999999|35.39866666666664|25.35399999999998|20.70266666666668|55|45
세상끝의라멘|42.83976470588235|50.69364705882352|38.74541176470589|25.89576470588234|17.257647058823526|16.016941176470592|46|54
수염|41.621176470588225|48.84917647058824|36.12658823529411|27.29576470588234|24.454352941176467|20.35811764705882|55|45
스탠스커피|47.031764705882345|51.32047058823528|36.99952941176471|27.50470588235293|11.764705882352951|11.764705882352951|59|41
야키토리 나루토 오모테나시|11.764705882352951|51.29082352941177|42.650588235294116|29.433411764705873|17.376000000000005|16.528941176470582|47|53
어른이대공원|20.01999999999999|51.14305882352942|47.69835294117645|34.65317647058822|26.72988235294117|22.344941176470584|44|56
에도마에텐동하마다 홍대점|63.808666666666646|75.53233333333334|48.60199999999999|37.32399999999998|27.58766666666667|26.246999999999982|49|51
연남쌀국수 똣|25.227999999999923|97.39899999999993|65.03099999999996|54.57399999999991|20.38599999999991|10.90899999999995|54|46
연남족발1987|25.00000000000001|98.12949999999995|80.24649999999997|76.01449999999997|65.2825|58.54199999999996|47|53
오마카세 오사이초밥 홍대점|50.854666666666645|91.38799999999996|60.55966666666666|45.04999999999997|43.87399999999998|35.68133333333331|45|55
웃사브|17.321999999999953|94.88599999999994|69.94899999999994|59.49399999999995|52.469999999999914|34.40999999999995|55|45
윤씨밀방|38.828|48.994588235294124|36.53294117647058|32.4230588235294|26.077647058823523|22.169411764705874|54|46
이츠모라멘|47.62776470588235|52.52611764705881|37.338823529411755|24.793882352941164|16.50752941176471|15.709882352941179|47|53
이치류 홍대본점|20.01999999999999|51.14305882352942|47.69835294117645|34.65317647058822|26.72988235294117|22.344941176470584|44|56
일편등심|19.107294117647054|49.45364705882352|45.35341176470589|41.08611764705882|33.55647058823531|26.53976470588234|39|61
정무관|17.04682352941176|49.68752941176471|43.58494117647057|37.22541176470588|32.483529411764714|25.598588235294102|46|54
치킨앤카레군|11.764705882352951|49.22564705882352|29.593882352941186|24.761176470588225|18.776235294117637|11.764705882352951|52|48
캘리포니아 도넛 클럽 & 비라티오 홍대점|38.75670588235293|52.62282352941177|41.078352941176476|34.89576470588234|23.387764705882347|16.403294117647068|60|40
커피 벌스데이|62.55899999999998|76.14033333333332|42.60333333333332|26.696666666666662|19.314666666666664|16.66666666666668|64|36
테이커테이블|41.621176470588225|48.84917647058824|36.12658823529411|27.29576470588234|24.454352941176467|20.35811764705882|55|45
포36거리 홍대점|20.01999999999999|51.14305882352942|47.69835294117645|34.65317647058822|26.72988235294117|22.344941176470584|44|56
히메시야|43.38541176470588|51.491294117647044|33.398117647058825|26.95247058823529|22.551058823529406|23.415999999999997|52|48
