업소명,별점,리뷰수,좋아요수,소재지지번
다운타우너 청담점,4.5,66,255,서울특별시 강남구 신사동 666-25
콴안다오,4.4,31,98,서울특별시 강남구 신사동 516-2
카츠 바이 콘반,4.9,21,99,서울특별시 강남구 신사동 647-22
새들러 하우스,4.7,22,48,서울특별시 강남구 신사동 561-8
미미면가 2호점,3.9,72,463,서울시 강남구 신사동 512-21 지하1층
아우어베이커리 가로수길점,4.5,27,76,서울특별시 강남구 신사동 523-19
뱃고동 본점,4.2,20,199,서울시 강남구 신사동 663
네기 다이닝라운지,4.5,6,363,서울특별시 강남구 신사동 540-19
칙피스,4.2,22,78,서울특별시 강남구 신사동 540-18
아우어베이커리 도산본점,4.1,28,219,서울특별시 강남구 신사동 648-15
텔러스 9.5,4.7,8,21,서울특별시 강남구 신사동 561-19
세시셀라 도산공원점,4.3,19,83,서울시 강남구 신사동 651-4 삼경빌딩 1층
도수향,4.6,6,46,서울특별시 강남구 신사동 662-7
압구정공주떡,4.5,14,57,서울시 강남구 신사동 569-31
대가방 압구정동점,4.4,7,39,서울시 강남구 신사동 549-8
우와,4.2,20,84,서울특별시 강남구 신사동 508-8
세컨디포레스트 가로수길점,4.6,10,15,서울특별시 강남구 신사동 521-22 1동 나라빌딩
우유니아이스크림,4.4,12,53,서울특별시 강남구 신사동 529-6
스몰디쉬빅쇼,4.8,4,13,서울특별시 강남구 신사동 524-1
겟썸커피,4.4,14,252,서울특별시 강남구 신사동 551-32
a.ga gelato,4.7,9,7,서울 강남구 신사동 564-3
타르틴 베이커리 도산점,4.3,17,19,서울특별시 강남구 신사동 645-18
리북집 신사점,4.1,11,125,서울특별시 강남구 신사동 537-10
한추,3.8,33,496,서울특별시 강남구 신사동 549-9
장다리,4.5,5,10,서울특별시 강남구 신사동 642-14
김북순 큰남비집 본점,4.3,9,54,서울시 강남구 신사동 522
묵전,4.0,19,130,서울시 강남구 신사동 645-11
그랑씨엘 신사점,4.4,6,50,서울시 강남구 신사동 650-22
압구정곱창,4.4,7,42,서울특별시 강남구 신사동 643-21
고급오복수산,4.4,7,7,서울시 강남구 신사동 603 안다즈호텔 지하1층
벽돌해피푸드 압구정점,4.4,8,21,서울특별시 강남구 신사동 655
쿠스,4.6,6,4,서울 강남구 신사동 648-9
오복수산 도산,4.1,15,25,서울특별시 강남구 신사동 666-25 2층
구스테이크,4.5,4,90,서울시 강남구 신사동 528-3
소이연남 마오,5.0,3,13,서울시 강남구 신사동 665-9
산동교자관,4.6,4,114,서울특별시 강남구 신사동 615
도산분식,3.8,33,84,서울특별시 강남구 신사동 652-7
신사랑,4.3,8,10,서울특별시 강남구 신사동 519-1
신사연어,4.2,13,110,서울특별시 강남구 신사동 512-9 MG타운 2층
쿠이신보,4.4,5,63,서울특별시 강남구 신사동 539
우마텐 텐동,4.2,11,62,서울특별시 강남구 신사동 661-10
식물성 도산,4.5,10,2,서울특별시 강남구 신사동 634-16
이치서울,4.4,8,3,서울특별시 강남구 신사동 508-6
뉴욕라츠오베이글스,4.2,8,3,서울특별시 강남구 신사동 642-6
가담,3.8,9,28,서울특별시 강남구 신사동 608-8
일일향 1호점,3.9,12,234,서울특별시 강남구 신사동 601-3 동우빌딩 1층
온달집 본점,4.5,6,11,서울특별시 강남구 신사동 514-4
감성타코,3.7,33,352,서울특별시 강남구 신사동 523-16
한일관 압구정점,3.9,12,259,서울특별시 강남구 신사동 619-4
비파티세리,4.1,9,19,서울특별시 강남구 신사동 546-17
꽁티드툴레아,4.0,15,81,서울특별시 강남구 신사동 646-21
파넬 카페,4.1,10,43,서울특별시 강남구 신사동 649-2
장사랑 본점,4.2,7,50,서울시 강남구 신사동 624-47 B1F
송쉐프,3.9,11,72,서울특별시 강남구 신사동 507-11
듀자미,3.5,31,217,서울특별시 강남구 신사동 535-9
네기 스키야키,4.2,4,12,서울특별시 강남구 신사동 603 안다즈호텔
우시야,4.2,5,169,서울특별시 강남구 신사동 566-29
홍미닭발 신사점,4.1,13,57,서울시 강남구 신사동 502-1 신시빌딩 1층
쉑쉑버거 청담점,3.7,42,36,서울특별시 강남구 신사동 652-16 SGF청담타워 1층
삼창교자,3.9,12,11,서울시 강남구 신사동 517-34 1층
