업소명,별점,리뷰수,좋아요수,소재지지번
대가방 압구정동점,4.4,7,39,서울시 강남구 신사동 549-8
로로,4.5,7,17,서울특별시 강남구 신사동 646-7
묵전,4.0,19,130,서울시 강남구 신사동 645-11
고급오복수산,4.4,7,7,서울시 강남구 신사동 603 안다즈호텔 지하1층
누데이크 하우스 도산,4.3,8,9,서울특별시 강남구 신사동 649-8 지하1층
쿠이신보,4.4,5,63,서울특별시 강남구 신사동 539
뉴욕라츠오베이글스,4.2,8,3,서울특별시 강남구 신사동 642-6
한일관 압구정점,3.9,12,259,서울특별시 강남구 신사동 619-4
장사랑 본점,4.2,7,50,서울시 강남구 신사동 624-47 B1F
네기 스키야키,4.2,4,12,서울특별시 강남구 신사동 603 안다즈호텔
쉑쉑버거 청담점,3.7,42,36,서울특별시 강남구 신사동 652-16 SGF청담타워 1층
두레국수,3.6,15,299,서울특별시 강남구 신사동 626-79
본죽&비빔밥cafe 신사점,4.3,7,3,서울특별시 강남구 신사동 514-9
강서면옥 압구정점,3.8,13,67,서울시 강남구 신사동 645-30
교텐,4.1,3,4,서울특별시 강남구 신사동 521-3
미앙,4.5,6,12,서울특별시 강남구 신사동 603 안다즈호텔 지하1층
뉴만두집,3.6,17,182,서울특별시 강남구 신사동 661-1
우가,4.4,13,53,서울특별시 강남구 신사동 653-20
키친 마이야르,5.0,1,2,서울특별시 강남구 신사동 644-6 지하1층
금수복국,4.4,7,31,서울특별시 강남구 신사동 627-13
무탄,3.6,12,18,서울특별시 강남구 신사동 613-2
안동국시,4.2,3,7,서울시 강남구 신사동 612-2
우형준 정미소,4.2,5,56,서울특별시 강남구 신사동 572
코레아노스 키친,4.3,6,56,서울특별시 강남구 신사동 657-11
설매네,3.8,8,55,서울특별시 강남구 신사동 609-1
소나,4.0,4,48,서울특별시 강남구 신사동 520-1 201호
이불덮밥 압구정점,3.6,3,7,서울시 강남구 신사동 577-5 카로시티 103호
롸카두들 내쉬빌 핫치킨,3.9,6,17,서울특별시 강남구 신사동 646-8 1층
리틀사이공 압구정점,4.2,6,132,서울특별시 강남구 신사동 640-1
카페 캠프통,3.9,8,4,서울 강남구 신사동 643-22
갓포아키,4.0,7,229,서울특별시 강남구 신사동 651-5
사녹,4.2,3,10,서울시 강남구 신사동 642-14 2층
스시기요세,5.0,2,11,서울특별시 강남구 신사동 648-20 2층
맥도날드,4.3,7,25,서울특별시 강남구 신사동 512-19
천미미,4.4,6,31,서울특별시 강남구 신사동 588-5
병철이네쪽갈비,4.0,2,128,서울특별시 강남구 신사동 651-16 호림아트센터
스시선수,4.2,7,23,서울특별시 강남구 신사동 652-16
마제스티 타바론 티 라운지,3.8,5,9,서울특별시 강남구 신사동 644-7
있을 재,3.9,4,15,서울특별시 강남구 신사동 628-41
신사쭈꾸미,4.0,4,24,서울특별시 강남구 신사동 569-30
담미온,4.0,5,42,서울특별시 강남구 신사동 549-9
시골밥상,3.8,7,9,서울특별시 강남구 신사동 653-19
W가나,5.0,1,26,서울특별시 강남구 신사동 638-9
js 가든 압구정점,4.0,4,133,서울특별시 강남구 신사동 624-19
스시코마츠,3.5,3,13,서울특별시 강남구 신사동 629-32
연타발 압구정점,4.5,2,83,서울특별시 강남구 신사동 665-10
몽고네,4.0,3,8,서울특별시 강남구 신사동 631-17
오븟,4.0,1,3,서울특별시 강남구 신사동 540-19 지하1층 102호
스시 오마주,5.0,1,8,서울특별시 강남구 신사동 515-6
삼삼이네,4.6,3,15,서울특별시 강남구 신사동 521-5
당옥,3.4,7,5,서울시 강남구 신사동 656-15
스시 이토,4.7,2,4,서울특별시 강남구 신사동 559-15
하하,5.0,1,18,서울시 강남구 신사동 630-26 B1F
카페 마당,3.6,6,72,서울특별시 강남구 신사동 570-3
수퍼판,3.8,3,16,서울특별시 강남구 신사동 636-23
만,4.0,3,2,서울특별시 강남구 신사동 643
청담반점 도산공원점,3.8,4,35,서울특별시 강남구 신사동 548-4
코다차야,3.9,5,1,서울특별시 강남구 신사동 550-9
강승월한식당,4.0,2,1,서울특별시 강남구 신사동 535-3
미드타운,4.0,2,62,서울시 강남구 신사동 516-11
사가라멘 가로수길점,3.0,13,1,서울특별시 강남구 신사동 518-14 지하1층
아르켓 가로수길점,5.0,1,2,서울특별시 강남구 신사동 610-2
유희,4.0,1,3,서울특별시 강남구 신사동 581-8
하영호신촌설렁탕,3.8,3,3,서울특별시 강남구 신사동 613-15
통영마을,3.6,3,37,서울특별시 강남구 신사동 511-17
미음죽,5.0,1,5,서울특별시 강남구 신사동 656-7
두사라,5.0,1,14,서울특별시 강남구 신사동 615-1
코타바이 뎐,2.7,2,30,서울특별시 강남구 신사동 516-1
대감왕족발,4.0,1,2,서울시 강남구 신사동 594-28
우림황소양곱창,3.5,2,13,서울특별시 강남구 신사동 539-1
호남식당,5.0,1,3,서울특별시 강남구 신사동 510-11
로프트,4.0,1,9,서울시 강남구 신사동 642-19
산호,4.0,3,21,서울특별시 강남구 신사동 635-12
원조 신사양곱창,3.5,4,3,서울특별시 강남구 신사동 609-1
아뮤즈살롱,3.0,2,15,서울특별시 강남구 신사동 586-8
연탄공장,5.0,1,6,서울특별시 강남구 신사동 610-1
로지,5.0,1,,
오대산,4.0,1,,
스시 호우시절,,,,
베이징덕,,,,
